epoch,k,train_mse,train_rmse,test_rmse,test_mae
1,50,1.011618550265417,1.0057924986126199,0.9680011106527528,0.7633773852756774
2,50,0.74829047927777,0.8650378484654704,0.8978251967488892,0.6911232006015392
3,50,0.45978830316765634,0.6780769153773459,0.8835593490680558,0.678710161338981
4,50,0.2744741506138665,0.5239028064573299,0.8988800552941913,0.6930992879687357
5,50,0.1806903407657397,0.42507686453833227,0.9154761657882031,0.7065022153422559
6,50,0.12669851220420125,0.3559473447073334,0.9270005105285807,0.7155466990985465
7,50,0.09633422245444026,0.31037754824477926,0.9374496101199709,0.7233057939102905
8,50,0.0763432861160589,0.2763028883599643,0.9466768921839338,0.7306375236259144
9,50,0.06362178061380598,0.25223358343766594,0.9533154039116116,0.735704573255237
10,50,0.05530392364973778,0.23516786270606319,0.9593538005576031,0.7404267610159925
