epoch,k,train_mse,train_rmse,test_rmse,test_mae
1,5,1.0132830637118875,1.0066196221571917,0.9726209344502966,0.7689195444389507
2,5,0.8664551061658999,0.9308357031001228,0.9260343775170531,0.7188825276346817
3,5,0.753095611533869,0.8678108155202198,0.8964606779303277,0.6912079400023967
4,5,0.6511854748553768,0.8069606402144883,0.8853206526436642,0.6814780903817926
5,5,0.5734973268724538,0.7572960628924819,0.8880621816933663,0.6830258665813669
6,5,0.521595232002511,0.7222155024662037,0.8940854456868125,0.6873977555745747
7,5,0.4878560994670108,0.6984669637620743,0.9005048082210436,0.6918666103048898
8,5,0.46449953279813005,0.681542025702106,0.9057122164820068,0.6951617624073411
9,5,0.4474983726853844,0.6689531916998261,0.9100401388230305,0.6977644984482347
10,5,0.4341276188967295,0.6588836155928675,0.9138711686459698,0.6999895521641912
