epoch,k,train_mse,train_rmse,test_rmse,test_mae
1,10,1.013345796950324,1.006650782024394,0.97161360044478,0.7675193958376116
2,10,0.8508046529492609,0.9223907268339491,0.918989394624631,0.712014729873549
3,10,0.6963166652194851,0.8344559096917494,0.8850782380336308,0.6810103503455484
4,10,0.5614720016469656,0.7493143543580129,0.880852244723881,0.6770667796557301
5,10,0.47070141406770455,0.6860768281087072,0.8884015606488506,0.682858912664802
6,10,0.4133249972605223,0.6429035676215542,0.8995177489049869,0.6915729840911823
7,10,0.37628371640596536,0.6134196902659429,0.9098116267538883,0.6993255465542885
8,10,0.3511373614423193,0.5925684445212378,0.9188933748822593,0.705511720921638
9,10,0.33254798020885273,0.5766697323502012,0.9265206809825725,0.7108672785158314
10,10,0.3184721616703761,0.5643333781289,0.9332011073952805,0.7154347733464229
