epoch,k,train_mse,train_rmse,test_rmse,test_mae
1,100,1.00935093479845,1.0046645882076515,0.9615179336673286,0.7566250406118452
2,100,0.6433992438825148,0.8021217138829461,0.8839963817087859,0.6793982868770644
3,100,0.31113801887705894,0.5577974711999499,0.8818424887374725,0.6802522126785514
4,100,0.15572887117642345,0.3946249753581537,0.893027231483746,0.6894970009178426
5,100,0.08630394135579283,0.2937753246203514,0.9010521229299479,0.6961598261330625
6,100,0.054484067718952436,0.2334182249074661,0.9068418039236031,0.7005443624136728
7,100,0.03579260446855304,0.18918933497571433,0.9103124911719503,0.7039754692996407
8,100,0.027396556486489042,0.1655190517326904,0.9135918457759704,0.7065423131225554
9,100,0.022667518760366177,0.1505573603659621,0.9160416901529306,0.7088327775325975
10,100,0.021583631429311446,0.14691368700468804,0.9165957329170471,0.7092785620306296
