k,RMSE_SVD,MAE_SVD,Precision@10_x,Recall@10_x,usuarios_avaliados_topk_x,RMSE_MF,MAE_MF,Precision@10_y,Recall@10_y,usuarios_avaliados_topk_y
5,0.9157036322080868,0.7089145080280833,0.11960132890365449,0.09002064952908091,602,0.9138711686459698,0.6999895521641912,0.02109634551495017,0.01839332248644394,602
10,0.9140338713788471,0.7075862816297164,0.1270764119601329,0.09715516803374537,602,0.9332011073952805,0.7154347733464229,0.0186046511627907,0.014257618516801301,602
20,0.9173982338708963,0.7098691563442145,0.12076411960132888,0.09557900506927927,602,0.9522024508754856,0.7327962379043146,0.028073089700996676,0.019252010041070695,602
50,0.9258101190075054,0.7172969718687451,0.11063122923588041,0.1076849269636564,602,0.9593538005576031,0.7404267610159925,0.040697674418604654,0.03091477211879936,602
100,0.9341682671243166,0.7260710315213887,0.08172757475083058,0.08854976369185731,602,0.9165957329170471,0.7092785620306296,0.05548172757475084,0.04069302981541649,602
